hospital_name,longitude,latitude
St. David's South Austin Medical Center,-97.77456665039062,30.226062774658203
Ascension Seton Northwest,-97.7437515258789,30.405210494995117
St. David's North Austin Medical Center,-97.70639038085938,30.41156005859375
Baylor Scott & White Medical Center - Austin,-97.835693359375,30.235437393188477
Baylor Scott & White Medical Center - Lakeway,-97.97142028808594,30.33293914794922
Ascension Seton Southwest,-97.89291381835938,30.22677993774414
Dell Children's Medical Center,-97.70735931396484,30.303455352783203
Dell Seton Medical Center at The University of Texas,-97.73481750488281,30.275590896606445
Ascension Seton Medical Center Austin,-97.74609375,30.304731369018555
St. David's Medical Center,-97.7254867553711,30.289552688598633
The Hospital West Lake Medical Center,-97.82579040527344,30.29566764831543
Heart Hospital of Austin,-97.74119567871094,30.30597496032715
